code,group,item,adj,filler,item_text,item_goal
145672,B,6,-,true,Каждая школьница подарила свою поделку самой доброй учительнице.,Одна учительница получила все поделки школьниц.
145672,B,7,-,true,Каждый школьник купил плакат с самым крутым спортсменом.,Школьники купили разные плакаты.
145672,B,8,чистая,false,Васина рубашка чище Петиной.,Петина рубашка чистая.
145672,B,9,горячая,false,"В ванне вода горячее, чем в тазике.",В тазике вода горячая.
145672,B,10,скупая,false,Директор отдела продаж скупее нашего директора.,Наш директор скупой.
145672,B,11,тёмная,false,"У Маши глаза темнее, чем у Саши.",У Саши тёмные глаза.
145672,B,12,уродливая,false,Дети тёти Любы уродливее детей тёти Гали.,Дети тёти Гали уродливые.
145672,B,13,ленивая,false,Девушки из второй бригады ленивее девушек из пятой.,Девушки из пятой бригады ленивые.
156009,C,0,-,control,Только самый маленький смурф принёс с собой бахилы.,Самый большой смурф принёс с собой бахилы.
156009,C,00,-,control,"Клёпа забыла, что в столовой не принимают карты.",В столовой не принимают карты.
156009,C,000,-,control,В группе нет никого зануднее Андрея.,Андрей самый занудный в группе.
156009,C,1,pos,true,"Вася читал книгу, пока Маша спала.",Маша спала.
156009,C,2,-,true,"Женя вязала свитер, пока её брат не заснул.",Женин брат заснул.
156009,C,3,-,true,"Петя самый глупый и не самый умный. ",Вася - это имя.
156009,C,4,cf,true,"Если бы Наташа съела Машин сырок, то Маша бы съела Наташино печенье.",Наташа съела Машин сырок.
156009,C,5,ind,true,"Если Петя съел протеиновые батончики Андрея, то Андрей съел его последнюю шоколадку.",Петя съел протеиновые батончики Андрея.
156009,C,6,-,true,Каждая школьница подарила свою поделку самой доброй учительнице.,Одна учительница получила все поделки школьниц.
156009,C,7,-,true,Каждый школьник купил плакат с самым крутым спортсменом.,Школьники купили разные плакаты.
156009,C,14,быстрая,false,"В квартире интернет быстрее, чем в университете.",В университете интернет быстрый.
156009,C,15,добрая,false,Учитель ОБЖ добрее учителя физкультуры.,Учитель физкультуры добрый.
156009,C,16,умная,false,Глаша умнее Наташи.,Наташа умная.
156009,C,17,трусливая,false,Соня трусливее Вики.,Вика трусливая.
156009,C,18,лёгкая,false,Кот Тиша легче собаки Маргоши.,Собака Маргоша лёгкая.
156009,C,19,низкая,false,Сосна ниже тополя.,Тополь низкий.	
238950,D,0,-,control,Только самый маленький смурф принёс с собой бахилы.,Самый большой смурф принёс с собой бахилы.
238950,D,00,-,control,"Клёпа забыла, что в столовой не принимают карты.",В столовой не принимают карты.
238950,D,000,-,control,В группе нет никого зануднее Андрея.,Андрей самый занудный в группе.
238950,D,1,pos,true,"Вася читал книгу, пока Маша спала.",Маша спала.
238950,D,2,-,true,"Женя вязала свитер, пока её брат не заснул.",Женин брат заснул.
238950,D,3,-,true,"Петя самый глупый и не самый умный. ",Вася - это имя.
238950,D,4,cf,true,"Если бы Наташа съела Машин сырок, то Маша бы съела Наташино печенье.",Наташа съела Машин сырок.
238950,D,5,ind,true,"Если Петя съел протеиновые батончики Андрея, то Андрей съел его последнюю шоколадку.",Петя съел протеиновые батончики Андрея.
238950,D,6,-,true,Каждая школьница подарила свою поделку самой доброй учительнице.,Одна учительница получила все поделки школьниц.
238950,D,7,-,true,Каждый школьник купил плакат с самым крутым спортсменом.,Школьники купили разные плакаты.
238950,D,14,медленная,false,"В квартире интернет медленнее, чем в университете.",В университете интернет медленный.
238950,D,15,злая,false,Учитель ОБЖ злее учителя физкультуры.,Учитель физкультуры злой.
238950,D,16,тупая,false,Глаша тупее Наташи.,Наташа тупая.
238950,D,17,храбрая,false,Соня храбрее Вики.,Вика храбрая.
238950,D,18,тяжёлая,false,Кот Тиша тяжелее собаки Маргоши.,Собака Маргоша тяжелая.
238950,D,19,высокая,false,Сосна выше тополя.,Тополь высокий.
